matter_id,client_id,matter_name,practice_area,responsible_partner,open_date,close_date
1,67,Matter_1,Tax,75,2022-02-16,2023-07-08
2,65,Matter_2,Tax,15,2022-11-25,2024-09-11
3,161,Matter_3,M&A,24,2022-06-27,2021-09-12
4,168,Matter_4,IP,38,2022-12-07,2024-08-18
5,74,Matter_5,IP,35,2022-05-03,2022-04-15
6,43,Matter_6,M&A,94,2021-10-20,2024-08-07
7,44,Matter_7,M&A,95,2020-02-05,2025-08-17
8,29,Matter_8,M&A,49,2023-07-26,2025-04-15
9,141,Matter_9,M&A,69,2023-07-31,2020-09-12
10,12,Matter_10,M&A,62,2022-02-13,2021-07-19
11,95,Matter_11,M&A,60,2023-10-28,2025-10-25
12,46,Matter_12,Tax,50,2020-12-28,2022-04-29
13,130,Matter_13,Tax,78,2018-12-05,2023-08-24
14,35,Matter_14,Tax,75,2022-10-05,2025-05-13
15,81,Matter_15,Tax,9,2018-11-20,2025-11-22
16,90,Matter_16,M&A,34,2022-10-30,2024-03-23
17,8,Matter_17,IP,76,2020-01-10,2023-07-09
18,93,Matter_18,Litigation,99,2021-04-18,2021-12-10
19,154,Matter_19,M&A,35,2021-08-08,2025-02-25
20,90,Matter_20,Litigation,1,2019-02-25,2025-12-23
21,162,Matter_21,IP,40,2018-11-24,2023-11-03
22,115,Matter_22,Tax,64,2021-09-05,2023-12-22
23,105,Matter_23,IP,22,2021-04-25,2022-12-18
24,135,Matter_24,M&A,60,2021-06-09,2025-06-06
25,196,Matter_25,Tax,64,2023-01-01,2022-02-26
26,58,Matter_26,M&A,93,2022-10-12,2022-10-06
27,114,Matter_27,Tax,72,2019-11-14,2023-02-16
28,75,Matter_28,Litigation,11,2022-12-24,2023-05-07
29,157,Matter_29,Litigation,14,2021-12-10,2022-07-10
30,120,Matter_30,Litigation,60,2023-01-06,2023-05-04
31,164,Matter_31,IP,30,2018-06-23,2023-03-29
32,21,Matter_32,M&A,35,2021-12-15,2022-04-29
33,164,Matter_33,IP,85,2022-11-17,2025-06-25
34,138,Matter_34,Litigation,37,2021-01-29,2023-07-22
35,101,Matter_35,M&A,5,2018-08-23,2025-05-19
36,152,Matter_36,Litigation,83,2018-11-04,2023-11-29
37,192,Matter_37,IP,78,2022-07-22,2023-01-25
38,177,Matter_38,IP,26,2022-01-28,2023-03-24
39,99,Matter_39,IP,62,2023-10-03,2021-05-14
40,36,Matter_40,Litigation,4,2019-10-18,2024-04-04
41,96,Matter_41,M&A,89,2018-05-08,2024-06-04
42,152,Matter_42,M&A,42,2019-08-08,2023-11-14
43,151,Matter_43,Litigation,89,2022-11-30,2021-08-22
44,190,Matter_44,M&A,18,2018-05-23,2023-04-04
45,37,Matter_45,Litigation,40,2019-06-02,2020-06-21
46,12,Matter_46,M&A,72,2018-10-03,2023-03-24
47,113,Matter_47,Tax,39,2020-08-24,2020-11-19
48,183,Matter_48,Tax,14,2022-02-09,2023-11-19
49,13,Matter_49,IP,32,2022-01-23,2024-12-16
50,23,Matter_50,Tax,51,2022-04-18,2022-11-16
51,99,Matter_51,Tax,38,2018-05-13,2025-05-16
52,105,Matter_52,Tax,97,2019-09-21,2022-05-26
53,30,Matter_53,Litigation,23,2023-01-17,2022-04-07
54,17,Matter_54,Tax,63,2022-02-28,2023-01-15
55,113,Matter_55,Tax,15,2022-03-04,2023-01-17
56,62,Matter_56,IP,97,2022-12-24,2021-07-16
57,84,Matter_57,Tax,25,2018-11-11,2021-03-23
58,112,Matter_58,Tax,17,2019-07-18,2022-09-07
59,86,Matter_59,M&A,97,2023-12-09,2022-09-20
60,141,Matter_60,IP,66,2022-02-12,2020-07-26
61,187,Matter_61,IP,78,2022-06-19,2025-12-15
62,19,Matter_62,IP,53,2021-07-11,2022-07-13
63,177,Matter_63,IP,51,2021-02-15,2022-08-11
64,100,Matter_64,IP,39,2020-10-19,2020-08-03
65,140,Matter_65,IP,51,2019-04-10,2021-02-14
66,189,Matter_66,Litigation,70,2018-04-17,2024-08-19
67,147,Matter_67,Tax,6,2020-02-02,2023-09-14
68,76,Matter_68,IP,67,2023-08-07,2025-04-18
69,9,Matter_69,Tax,7,2023-10-22,2021-02-15
70,199,Matter_70,Tax,51,2022-05-05,2021-07-17
71,28,Matter_71,Litigation,72,2019-04-28,2020-01-22
72,128,Matter_72,IP,42,2020-12-08,2021-10-08
73,52,Matter_73,M&A,64,2020-12-02,2024-07-24
74,83,Matter_74,Litigation,15,2023-01-02,2025-05-02
75,111,Matter_75,M&A,29,2020-05-28,2025-05-09
76,144,Matter_76,Tax,33,2021-03-15,2022-03-27
77,117,Matter_77,Tax,94,2023-07-05,2023-03-22
78,69,Matter_78,Litigation,27,2020-03-30,2023-08-08
79,99,Matter_79,Litigation,36,2019-05-18,2023-03-15
80,140,Matter_80,M&A,29,2019-07-10,2020-08-30
81,25,Matter_81,IP,38,2018-10-31,2021-01-01
82,180,Matter_82,M&A,57,2023-01-26,2022-08-09
83,123,Matter_83,Litigation,97,2019-12-09,2025-12-31
84,53,Matter_84,M&A,27,2022-12-29,2020-06-01
85,151,Matter_85,Litigation,55,2018-12-26,2021-12-18
86,144,Matter_86,M&A,33,2021-08-02,2024-09-07
87,57,Matter_87,Litigation,68,2021-11-24,2021-12-21
88,39,Matter_88,Litigation,86,2018-09-23,2020-05-28
89,109,Matter_89,Litigation,66,2021-04-04,2024-06-14
90,181,Matter_90,IP,10,2021-05-13,2025-07-22
91,42,Matter_91,M&A,5,2019-10-08,2022-02-02
92,186,Matter_92,M&A,74,2019-12-15,2023-03-31
93,167,Matter_93,M&A,97,2022-01-20,2020-06-02
94,142,Matter_94,Litigation,38,2023-09-15,2020-02-07
95,122,Matter_95,M&A,13,2020-07-07,2023-05-07
96,133,Matter_96,M&A,31,2019-05-13,2021-03-15
97,163,Matter_97,Litigation,47,2020-04-03,2023-10-04
98,75,Matter_98,Tax,100,2019-07-23,2023-03-11
99,146,Matter_99,Litigation,88,2020-08-27,2025-02-04
100,76,Matter_100,M&A,52,2023-07-17,2025-11-17
101,9,Matter_101,Litigation,56,2018-04-18,2025-07-16
102,74,Matter_102,Tax,15,2022-01-18,2021-07-03
103,186,Matter_103,Litigation,29,2022-02-20,2025-08-27
104,145,Matter_104,M&A,8,2023-03-30,2025-04-01
105,7,Matter_105,Tax,5,2019-06-16,2023-01-22
106,174,Matter_106,IP,29,2018-12-20,2022-02-28
107,141,Matter_107,M&A,47,2018-09-27,2021-04-06
108,168,Matter_108,Tax,68,2021-06-20,2023-09-16
109,170,Matter_109,Tax,76,2022-06-19,2021-10-27
110,137,Matter_110,IP,45,2023-05-15,2025-02-22
111,178,Matter_111,Litigation,2,2023-11-24,2022-11-19
112,27,Matter_112,Litigation,27,2022-08-10,2022-02-01
113,122,Matter_113,M&A,95,2022-08-05,2020-02-27
114,194,Matter_114,IP,36,2018-10-30,2023-10-12
115,5,Matter_115,Litigation,36,2019-05-29,2023-04-23
116,29,Matter_116,IP,26,2021-07-22,2022-03-02
