col1,col2,col3,col4,col5
1,250,2023-12-09,9649,Wire
2,83,2021-05-11,4234,Check
3,240,2022-06-23,9608,Check
4,263,2024-12-29,6933,Credit Card
5,189,2024-03-26,8453,Check
6,290,2024-07-09,2009,Credit Card
7,58,2021-06-07,9419,Check
8,9,2023-10-14,9950,Check
9,115,2023-07-22,2063,Check
10,210,2023-11-13,5253,Wire
11,41,2023-01-08,1066,Credit Card
12,173,2021-04-24,989,Wire
13,234,2023-10-21,3161,Check
14,281,2024-03-06,6561,Wire
15,78,2021-12-08,6266,Credit Card
16,108,2023-01-24,7067,Check
17,281,2021-11-19,9958,Wire
18,39,2022-06-07,8201,Wire
19,119,2025-05-03,7479,Credit Card
20,27,2021-07-30,9733,Wire
21,104,2024-03-21,7380,Credit Card
22,74,2024-10-12,1167,Check
23,191,2025-01-20,4323,Check
24,147,2021-08-25,9118,Wire
25,255,2022-04-13,4707,Check
26,284,2025-02-26,4085,Check
27,213,2023-11-09,3279,Wire
28,123,2021-01-06,4638,Check
29,206,2021-04-01,2462,Wire
30,240,2021-01-26,2324,Credit Card
31,286,2022-05-16,6471,Credit Card
32,22,2021-04-05,1826,Credit Card
33,259,2023-08-25,5891,Wire
34,105,2023-01-16,8173,Wire
35,258,2023-02-24,8558,Check
36,204,2021-11-04,7113,Check
37,262,2022-01-02,937,Check
38,107,2021-03-14,4684,Check
39,251,2024-02-07,786,Check
40,221,2025-07-03,456,Wire
41,222,2025-01-02,9163,Wire
42,258,2025-02-25,4747,Credit Card
43,201,2024-09-04,4518,Credit Card
44,258,2023-05-09,6742,Credit Card
45,225,2022-04-05,3491,Credit Card
46,202,2022-10-22,4457,Wire
47,226,2022-05-24,4979,Wire
48,236,2023-05-03,5419,Wire
49,183,2025-01-15,2839,Check
50,200,2022-10-18,9610,Check
51,246,2022-07-10,9827,Credit Card
52,111,2021-06-09,4884,Check
53,6,2024-03-16,977,Wire
54,236,2023-02-03,2970,Credit Card
55,127,2021-09-02,392,Credit Card
56,104,2023-10-26,9943,Check
57,237,2024-10-10,8828,Credit Card
58,155,2021-04-18,2786,Check
59,257,2022-01-03,333,Check
60,235,2022-04-03,2474,Credit Card
61,289,2025-07-06,2372,Check
62,40,2023-11-23,1066,Check
63,288,2021-04-05,989,Check
64,197,2023-04-02,3963,Check
65,273,2021-05-22,6254,Credit Card
66,264,2023-08-11,3500,Wire
67,57,2022-08-02,8326,Wire
68,298,2025-05-04,4642,Check
69,98,2022-09-29,3623,Check
70,137,2022-11-02,1863,Check
71,87,2021-06-26,3391,Wire
72,242,2024-02-07,2588,Check
73,199,2023-07-25,1658,Credit Card
74,84,2021-01-17,4790,Credit Card
75,242,2023-01-26,6221,Credit Card
76,281,2022-02-15,2376,Wire
77,252,2022-08-21,4539,Check
78,190,2024-02-29,1203,Check
79,152,2025-05-26,7620,Check
80,278,2022-09-15,9711,Wire
81,139,2025-02-23,5509,Wire
82,176,2024-06-29,9770,Wire
83,8,2022-05-12,7969,Wire
84,295,2023-08-09,3056,Credit Card
85,235,2023-01-25,7810,Wire
86,163,2024-04-26,6117,Wire
87,49,2023-10-08,9674,Wire
88,38,2025-05-02,3484,Check
89,136,2025-05-09,9861,Check
90,219,2022-02-05,128,Check
91,296,2025-02-09,8997,Credit Card
92,34,2024-01-25,9312,Credit Card
93,79,2025-04-07,9738,Wire
94,236,2025-06-19,7856,Check
95,273,2022-05-18,7048,Credit Card
96,161,2021-11-05,5855,Check
97,175,2021-01-14,3702,Credit Card
98,221,2023-04-20,5162,Credit Card
99,9,2021-02-18,8171,Wire
100,289,2022-04-23,7344,Wire
101,113,2024-01-15,6472,Credit Card
102,205,2022-12-11,7205,Wire
103,186,2024-07-26,3681,Credit Card
104,197,2024-11-21,2862,Credit Card
105,266,2021-01-20,672,Check
106,262,2022-11-18,7805,Wire
107,248,2021-01-03,714,Wire
108,115,2025-04-04,4150,Wire
109,121,2024-09-08,425,Check
110,141,2023-02-10,3840,Check
111,65,2025-02-20,458,Check
112,276,2025-01-29,3877,Wire
113,239,2022-09-22,6006,Wire
114,10,2021-08-01,1821,Wire
115,233,2022-02-25,1449,Check
116,195,2023-12-22,3796,Check
117,12,2022-05-03,3996,Credit Card
118,177,2023-05-10,4360,Check
119,177,2023-10-05,9888,Credit Card
120,217,2021-05-03,9919,Wire
121,11,2021-10-19,7041,Check
122,118,2024-12-28,3908,Wire
123,164,2022-07-28,5346,Wire
124,39,2021-07-10,8484,Wire
125,53,2021-03-31,3945,Wire
126,218,2022-04-20,2677,Check
127,206,2023-12-01,191,Wire
128,56,2023-04-26,4334,Credit Card
129,118,2024-12-06,8772,Check
130,253,2023-02-02,6692,Wire
131,286,2023-07-28,8228,Check
132,268,2025-03-12,1175,Credit Card
133,291,2021-06-23,2613,Wire
134,180,2024-04-04,8268,Credit Card
135,235,2021-07-15,6961,Wire
136,196,2023-11-02,9090,Credit Card
137,80,2021-10-01,704,Wire
138,135,2024-07-29,3079,Check
139,22,2023-03-19,7240,Wire
140,225,2021-06-03,7165,Check
141,58,2024-04-27,5016,Wire
142,93,2024-03-08,6900,Wire
143,192,2021-05-08,697,Credit Card
144,103,2023-06-10,9824,Credit Card
145,7,2024-09-18,7420,Credit Card
146,128,2021-09-25,8805,Wire
147,55,2022-04-30,5722,Wire
148,231,2022-08-21,1977,Wire
149,62,2022-06-19,1799,Check
150,240,2022-10-08,9321,Check
151,90,2025-06-29,5880,Wire
152,232,2023-03-16,816,Credit Card
153,233,2024-12-06,4186,Credit Card
154,292,2025-02-15,765,Credit Card
155,152,2022-10-31,7946,Wire
156,145,2022-10-14,6711,Credit Card
157,130,2023-07-17,1179,Wire
158,141,2022-07-11,8519,Check
159,93,2022-04-24,8440,Credit Card
160,114,2021-06-02,1169,Check
161,284,2022-02-20,5363,Credit Card
162,143,2021-10-06,8051,Wire
163,223,2025-05-17,1463,Wire
164,232,2025-04-27,4608,Wire
165,33,2024-04-12,1855,Wire
166,276,2021-08-12,619,Credit Card
167,170,2021-11-15,5563,Check
168,140,2021-08-05,7333,Wire
169,201,2021-12-03,1202,Credit Card
170,23,2023-07-10,697,Check
171,224,2023-08-13,3373,Wire
172,270,2022-10-06,5881,Check
173,153,2023-04-13,6356,Wire
174,85,2021-09-05,7358,Check
175,109,2024-01-03,8880,Check
176,31,2023-01-04,6654,Wire
177,229,2025-04-27,9699,Credit Card
178,240,2022-03-02,8102,Check
179,141,2023-07-15,4946,Wire
180,156,2022-09-24,9921,Check
181,299,2023-08-07,9286,Check
182,99,2022-06-27,4898,Credit Card
183,47,2021-09-03,6705,Check
184,67,2021-07-05,3086,Check
185,62,2021-11-19,500,Wire
186,109,2025-07-12,2955,Wire
187,167,2024-11-06,3512,Credit Card
188,37,2022-09-16,156,Check
189,119,2024-12-14,8122,Check
190,86,2024-11-28,1975,Check
191,52,2024-05-20,4643,Credit Card
192,91,2021-03-24,4398,Check
193,289,2022-03-17,3868,Wire
194,298,2022-11-03,5852,Credit Card
195,204,2021-10-31,4933,Wire
196,238,2021-07-06,1453,Wire
197,155,2024-12-27,5087,Credit Card
198,240,2022-05-24,6697,Wire
199,136,2022-12-30,4411,Check
200,64,2023-03-23,3034,Credit Card
201,123,2023-11-18,122,Wire
202,254,2021-04-11,1309,Check
203,114,2024-10-18,9040,Check
204,20,2022-09-05,904,Wire
205,16,2022-06-17,8425,Check
206,145,2021-12-23,4516,Credit Card
207,208,2021-03-05,8725,Wire
208,19,2023-04-09,5241,Check
209,166,2023-07-16,5068,Check
210,38,2024-02-13,3771,Wire
211,181,2025-03-13,7392,Wire
212,105,2024-02-01,7101,Wire
213,100,2022-05-27,2198,Wire
214,90,2021-07-13,8544,Credit Card
215,300,2023-08-05,5161,Wire
216,79,2021-07-28,9421,Credit Card
217,73,2025-07-05,3364,Credit Card
218,176,2025-06-14,5535,Wire
219,96,2021-10-14,8593,Credit Card
220,103,2021-09-06,6791,Wire
221,224,2021-01-25,2863,Wire
222,6,2021-05-07,4105,Check
223,122,2025-05-19,3341,Wire
224,236,2022-04-01,3157,Check
225,116,2021-09-25,650,Credit Card
226,163,2022-02-10,5674,Check
227,226,2023-04-01,5511,Credit Card
228,230,2023-02-02,1687,Wire
229,182,2024-11-06,6020,Credit Card
230,249,2024-07-14,5360,Credit Card
231,210,2024-08-13,4509,Wire
232,144,2021-06-22,5883,Credit Card
233,96,2024-04-07,812,Wire
234,244,2024-04-15,5506,Check
235,86,2022-06-15,8090,Wire
236,184,2025-07-23,7520,Wire
237,121,2021-06-03,6943,Credit Card
238,92,2021-02-14,2533,Check
239,70,2021-05-13,3401,Wire
240,133,2022-02-09,370,Check
241,279,2024-08-15,1179,Check
242,137,2023-06-28,5422,Credit Card
243,187,2025-07-16,8895,Wire
244,221,2021-09-21,5357,Credit Card
245,46,2021-07-08,8082,Wire
246,278,2025-07-15,9877,Check
247,192,2022-11-11,6314,Wire
248,8,2021-09-08,5106,Wire
249,276,2021-03-29,4085,Check
250,179,2023-08-03,9687,Check
