col1,col2,col3,col4,col5,col6,col7
1,7,82,2022-06-07,7.9,375,Work_1
2,263,70,2022-02-21,7.2,280,Work_2
3,161,18,2022-11-08,0.8,225,Work_3
4,151,83,2024-08-17,3.4,435,Work_4
5,85,22,2021-06-11,3.0,426,Work_5
6,147,37,2023-07-11,3.9,305,Work_6
7,112,96,2023-01-30,1.3,397,Work_7
8,36,56,2021-07-09,9.4,367,Work_8
9,285,59,2024-01-02,5.8,339,Work_9
10,188,3,2025-01-23,3.4,566,Work_10
11,82,28,2022-01-26,4.3,312,Work_11
12,2,74,2021-04-16,4.7,329,Work_12
13,197,35,2022-07-04,6.2,183,Work_13
14,11,61,2023-02-12,5.4,190,Work_14
15,234,93,2024-10-11,9.2,456,Work_15
16,195,54,2024-05-23,5.2,580,Work_16
17,119,63,2024-05-19,9.9,487,Work_17
18,20,79,2021-03-22,8.6,463,Work_18
19,261,97,2021-05-30,2.5,224,Work_19
20,293,7,2022-01-21,9.3,590,Work_20
21,256,76,2025-07-06,1.6,428,Work_21
22,222,49,2025-04-09,8.3,325,Work_22
23,226,94,2024-04-18,4.1,533,Work_23
24,53,85,2025-01-23,8.8,299,Work_24
25,280,31,2024-10-07,8.7,422,Work_25
26,81,58,2024-02-19,8.2,474,Work_26
27,202,61,2022-03-21,8.0,257,Work_27
28,158,24,2023-09-09,3.4,288,Work_28
29,120,20,2022-03-04,1.3,499,Work_29
30,59,37,2022-11-13,4.3,420,Work_30
31,215,4,2022-09-13,2.1,496,Work_31
32,128,92,2021-02-01,7.1,568,Work_32
33,224,20,2022-03-10,3.8,438,Work_33
34,209,60,2022-01-25,9.8,361,Work_34
35,115,24,2025-02-27,6.6,530,Work_35
36,209,50,2021-08-29,8.3,421,Work_36
37,14,49,2025-03-10,1.8,567,Work_37
38,9,51,2025-03-25,8.7,215,Work_38
39,40,96,2023-09-08,9.3,573,Work_39
40,237,36,2022-05-12,5.1,397,Work_40
41,281,98,2024-11-25,6.3,305,Work_41
42,201,100,2024-05-22,7.8,196,Work_42
43,246,66,2024-12-12,2.2,572,Work_43
44,278,79,2022-02-23,5.3,350,Work_44
45,235,34,2023-03-24,4.3,297,Work_45
46,4,36,2022-05-06,1.9,273,Work_46
47,154,6,2024-02-05,4.0,150,Work_47
48,29,39,2022-10-21,1.1,396,Work_48
49,109,42,2025-05-08,0.7,492,Work_49
50,98,58,2022-08-03,1.8,277,Work_50
51,215,12,2023-02-19,9.6,340,Work_51
52,293,3,2023-08-13,5.7,216,Work_52
53,75,18,2023-12-29,9.7,153,Work_53
54,146,40,2024-08-21,4.6,591,Work_54
55,128,21,2023-01-06,3.5,558,Work_55
56,42,15,2022-09-24,5.3,452,Work_56
57,41,97,2022-06-20,4.7,443,Work_57
58,34,99,2023-01-07,1.5,292,Work_58
59,17,26,2023-11-17,6.6,340,Work_59
60,165,8,2023-10-16,2.6,170,Work_60
61,153,100,2023-08-13,6.4,376,Work_61
62,76,94,2021-07-21,6.7,462,Work_62
63,87,87,2025-07-03,1.9,266,Work_63
64,117,42,2025-01-19,1.1,586,Work_64
65,27,44,2023-08-20,7.9,451,Work_65
66,287,14,2025-04-09,4.9,291,Work_66
67,134,78,2022-10-18,1.1,550,Work_67
68,219,2,2022-02-21,10.0,188,Work_68
69,168,37,2023-01-30,1.0,542,Work_69
70,98,69,2022-10-03,7.1,504,Work_70
71,268,38,2023-04-28,9.8,401,Work_71
72,237,41,2021-04-04,2.8,482,Work_72
73,173,62,2024-02-27,1.9,356,Work_73
74,190,60,2022-03-30,1.7,359,Work_74
75,122,14,2025-02-27,3.4,264,Work_75
76,46,89,2021-10-26,1.5,374,Work_76
77,64,84,2021-02-03,7.1,283,Work_77
78,130,2,2022-06-19,1.1,400,Work_78
79,193,70,2024-02-08,5.3,368,Work_79
80,181,17,2024-04-11,10.0,556,Work_80
81,292,89,2024-04-01,8.2,592,Work_81
82,282,28,2025-01-14,6.3,240,Work_82
83,29,66,2023-05-06,3.4,503,Work_83
84,149,35,2022-08-28,6.4,525,Work_84
85,267,5,2021-11-09,5.5,195,Work_85
86,296,65,2022-02-06,4.5,187,Work_86
87,11,40,2022-11-07,1.7,291,Work_87
88,164,76,2022-04-17,8.9,249,Work_88
89,113,56,2023-02-17,4.8,477,Work_89
90,187,36,2024-03-12,2.3,339,Work_90
91,295,45,2022-05-19,4.0,184,Work_91
92,232,23,2023-10-20,4.4,296,Work_92
93,227,47,2024-02-02,8.4,179,Work_93
94,98,31,2024-09-02,7.5,483,Work_94
95,55,11,2024-11-03,7.8,233,Work_95
96,111,10,2022-11-23,0.6,518,Work_96
97,152,67,2022-06-12,4.5,430,Work_97
98,246,14,2025-04-13,5.1,573,Work_98
99,69,80,2023-09-28,0.7,493,Work_99
100,289,74,2025-01-21,3.0,419,Work_100
101,250,93,2024-08-07,7.7,303,Work_101
102,36,10,2025-02-23,1.8,251,Work_102
103,239,76,2023-10-02,5.6,364,Work_103
104,148,94,2023-08-02,2.5,299,Work_104
105,227,1,2021-12-11,0.6,581,Work_105
106,244,5,2025-02-09,2.8,232,Work_106
107,201,20,2025-06-17,9.8,259,Work_107
108,154,8,2022-12-23,8.1,584,Work_108
109,73,43,2021-12-13,9.6,536,Work_109
110,201,76,2021-10-14,5.1,575,Work_110
111,296,1,2025-01-15,1.5,424,Work_111
112,17,57,2024-01-25,5.7,350,Work_112
113,129,64,2023-09-28,4.8,433,Work_113
114,217,84,2022-01-12,8.5,322,Work_114
115,61,28,2024-01-16,1.4,476,Work_115
116,104,37,2024-08-07,5.1,355,Work_116
117,42,47,2021-05-01,1.9,212,Work_117
118,25,76,2023-12-10,3.6,222,Work_118
119,39,37,2021-03-11,7.5,400,Work_119
120,291,49,2021-06-02,5.0,273,Work_120
121,131,44,2024-09-30,4.1,524,Work_121
122,229,56,2021-04-10,4.2,270,Work_122
123,108,28,2025-04-15,4.9,424,Work_123
124,172,79,2021-01-14,8.0,580,Work_124
125,102,6,2023-04-25,9.0,547,Work_125
126,12,61,2021-10-09,9.6,269,Work_126
127,275,20,2024-07-15,8.0,571,Work_127
128,101,78,2022-04-19,3.5,586,Work_128
129,44,2,2021-05-20,7.0,466,Work_129
130,17,73,2024-12-19,4.7,313,Work_130
131,57,37,2021-11-06,2.9,573,Work_131
132,12,20,2021-01-19,8.5,435,Work_132
133,80,26,2022-03-24,0.9,414,Work_133
134,216,29,2023-11-02,9.1,469,Work_134
135,264,1,2023-07-23,4.9,310,Work_135
136,149,35,2023-02-04,6.6,525,Work_136
137,81,70,2021-05-04,6.8,457,Work_137
138,215,59,2024-06-19,9.0,238,Work_138
139,198,69,2024-07-30,6.5,291,Work_139
140,200,33,2024-09-27,6.3,352,Work_140
141,25,51,2024-06-16,1.1,458,Work_141
142,89,78,2023-09-17,5.4,376,Work_142
143,268,12,2024-09-12,1.9,592,Work_143
144,143,20,2023-09-27,7.5,483,Work_144
145,59,53,2021-02-02,5.4,371,Work_145
146,26,88,2021-01-14,7.0,190,Work_146
147,47,43,2023-12-26,0.9,345,Work_147
148,288,98,2024-02-04,1.3,217,Work_148
149,266,89,2023-04-23,7.3,413,Work_149
150,16,50,2021-01-25,1.2,151,Work_150
151,199,29,2021-02-04,1.2,510,Work_151
152,282,57,2023-12-21,0.6,274,Work_152
153,86,39,2025-01-19,9.6,259,Work_153
154,250,95,2022-07-17,7.5,235,Work_154
155,270,56,2024-01-03,3.9,574,Work_155
156,117,43,2022-08-11,3.3,269,Work_156
157,7,50,2021-02-05,3.8,276,Work_157
158,137,23,2023-10-26,7.9,404,Work_158
159,176,44,2025-07-24,6.8,332,Work_159
160,215,38,2024-11-30,2.3,165,Work_160
161,82,84,2024-10-12,2.2,211,Work_161
162,223,23,2023-06-01,1.4,518,Work_162
163,103,45,2025-07-10,6.8,581,Work_163
164,273,52,2022-01-03,7.8,307,Work_164
165,14,80,2021-08-08,3.0,417,Work_165
166,159,50,2021-07-17,0.7,184,Work_166
167,152,8,2023-12-10,1.3,416,Work_167
168,108,85,2021-11-01,9.7,213,Work_168
169,188,1,2022-05-09,3.3,199,Work_169
170,98,8,2022-01-29,7.8,404,Work_170
171,131,29,2024-06-23,6.4,298,Work_171
172,293,96,2023-12-15,4.1,474,Work_172
173,171,5,2022-06-01,2.5,453,Work_173
174,183,86,2025-07-28,1.7,425,Work_174
175,39,47,2022-12-27,6.3,506,Work_175
176,15,34,2022-07-02,7.9,321,Work_176
177,4,65,2025-06-17,6.6,566,Work_177
178,210,55,2023-03-24,5.5,350,Work_178
179,161,90,2021-06-11,0.9,594,Work_179
180,16,43,2023-02-04,9.7,542,Work_180
181,108,74,2023-04-12,8.1,473,Work_181
182,227,30,2023-07-30,3.3,184,Work_182
183,170,82,2024-03-03,9.8,365,Work_183
184,34,17,2022-05-14,6.2,214,Work_184
185,251,26,2024-11-28,6.0,157,Work_185
186,247,8,2022-04-08,7.6,450,Work_186
187,269,47,2022-09-07,8.2,492,Work_187
188,141,76,2024-11-01,6.7,580,Work_188
189,274,91,2021-06-15,1.7,573,Work_189
190,96,72,2024-08-31,3.7,481,Work_190
191,227,89,2024-08-23,9.3,587,Work_191
192,39,46,2025-04-05,2.6,225,Work_192
193,29,68,2021-03-06,4.0,323,Work_193
194,245,33,2021-07-11,4.6,196,Work_194
195,236,1,2023-04-11,4.7,164,Work_195
196,185,19,2023-02-16,6.3,510,Work_196
197,272,31,2023-02-12,9.5,296,Work_197
198,236,80,2024-02-06,2.8,175,Work_198
199,239,14,2023-09-02,1.7,457,Work_199
200,266,53,2021-04-25,2.4,242,Work_200
201,65,48,2024-07-28,8.9,555,Work_201
202,177,69,2021-01-20,6.6,381,Work_202
203,3,90,2024-12-10,3.2,170,Work_203
204,142,62,2021-12-17,8.3,456,Work_204
205,158,92,2021-06-19,8.7,187,Work_205
206,146,66,2023-10-21,8.5,425,Work_206
207,293,64,2023-06-08,9.2,306,Work_207
208,153,70,2024-08-13,2.9,328,Work_208
209,193,63,2025-05-26,7.7,281,Work_209
210,73,73,2022-11-10,4.9,460,Work_210
211,140,33,2024-03-04,8.5,497,Work_211
212,187,41,2021-07-15,7.4,177,Work_212
213,293,89,2023-12-18,7.9,409,Work_213
214,61,48,2021-03-29,6.7,555,Work_214
215,198,13,2022-04-16,2.2,225,Work_215
216,295,73,2022-03-09,5.7,578,Work_216
217,11,77,2024-11-18,9.9,216,Work_217
218,62,31,2024-03-06,9.4,491,Work_218
219,226,75,2023-09-01,0.9,343,Work_219
220,153,68,2022-07-10,2.1,311,Work_220
221,199,98,2021-04-06,1.8,496,Work_221
222,52,4,2021-06-02,7.4,588,Work_222
223,260,19,2024-11-02,8.3,510,Work_223
224,59,70,2022-07-29,2.5,406,Work_224
225,72,98,2024-01-18,5.3,221,Work_225
226,148,82,2024-02-29,8.5,236,Work_226
227,63,13,2024-09-09,7.5,571,Work_227
228,243,23,2021-03-09,5.7,411,Work_228
229,107,83,2022-01-03,6.1,363,Work_229
230,226,75,2022-10-07,5.3,302,Work_230
231,218,1,2021-02-02,3.3,359,Work_231
232,241,88,2022-03-01,5.9,550,Work_232
233,259,54,2024-04-17,7.0,210,Work_233
234,262,71,2021-10-23,8.8,417,Work_234
235,5,89,2025-03-21,6.5,411,Work_235
236,261,85,2024-12-30,7.7,367,Work_236
237,54,15,2023-03-27,2.0,432,Work_237
238,47,65,2021-06-07,4.9,285,Work_238
239,215,76,2022-09-05,0.6,529,Work_239
240,177,71,2021-11-29,2.8,511,Work_240
241,9,15,2024-02-29,7.4,598,Work_241
242,99,21,2022-05-08,9.9,590,Work_242
243,20,19,2024-03-06,1.4,242,Work_243
244,241,60,2023-03-08,4.3,258,Work_244
245,61,93,2024-10-18,8.1,390,Work_245
246,178,89,2024-01-13,2.4,504,Work_246
247,62,33,2022-11-11,5.8,573,Work_247
248,145,49,2023-02-26,7.5,291,Work_248
249,216,96,2025-03-28,6.4,440,Work_249
250,3,35,2025-02-23,2.3,581,Work_250
251,160,44,2021-10-14,3.9,386,Work_251
252,227,90,2025-06-07,7.9,489,Work_252
253,269,11,2024-11-12,5.8,461,Work_253
254,120,99,2025-01-23,0.5,326,Work_254
255,89,72,2021-06-10,7.7,290,Work_255
256,68,78,2023-10-23,0.8,338,Work_256
257,98,74,2025-03-07,7.6,198,Work_257
258,267,66,2022-12-10,2.4,451,Work_258
259,105,46,2021-04-20,9.6,518,Work_259
260,123,9,2021-07-20,4.0,339,Work_260
261,29,3,2023-06-15,3.6,285,Work_261
262,137,85,2022-04-21,1.9,192,Work_262
263,195,26,2021-06-05,3.4,553,Work_263
264,226,72,2022-11-29,8.8,529,Work_264
265,170,48,2024-05-24,10.0,502,Work_265
266,9,66,2025-04-24,4.0,239,Work_266
267,40,70,2024-06-11,4.8,444,Work_267
268,25,28,2024-05-04,7.4,490,Work_268
269,261,93,2023-03-24,8.9,394,Work_269
270,226,26,2025-05-04,6.1,582,Work_270
271,124,25,2022-10-31,4.2,341,Work_271
272,38,12,2021-03-02,4.4,467,Work_272
273,251,5,2024-07-22,7.1,255,Work_273
274,176,98,2022-07-14,0.5,512,Work_274
275,90,48,2025-05-24,6.4,459,Work_275
276,37,37,2023-07-12,3.9,531,Work_276
277,176,79,2023-10-02,8.0,382,Work_277
278,284,44,2022-04-13,1.4,414,Work_278
279,81,100,2022-12-30,6.1,493,Work_279
280,114,15,2024-02-07,5.1,186,Work_280
281,40,43,2023-02-08,6.6,454,Work_281
282,224,48,2023-06-04,1.1,190,Work_282
283,115,87,2022-01-16,6.0,166,Work_283
284,186,70,2024-10-24,5.8,493,Work_284
285,56,46,2024-04-14,5.8,426,Work_285
286,40,43,2024-09-15,6.2,456,Work_286
287,40,21,2023-02-18,6.9,208,Work_287
288,237,23,2021-06-25,8.1,572,Work_288
289,289,80,2025-05-01,3.1,332,Work_289
290,262,47,2024-06-20,8.3,190,Work_290
291,216,15,2022-08-28,5.2,188,Work_291
292,147,25,2025-06-23,1.2,546,Work_292
293,168,36,2022-05-20,1.1,341,Work_293
294,92,75,2024-12-31,3.7,416,Work_294
295,59,51,2021-05-31,8.0,296,Work_295
296,59,15,2021-06-18,7.2,544,Work_296
297,169,68,2022-07-03,8.0,482,Work_297
298,269,21,2021-11-12,5.4,276,Work_298
299,45,13,2023-02-18,4.7,195,Work_299
300,181,86,2024-12-28,1.9,194,Work_300
301,170,19,2025-05-25,3.6,150,Work_301
302,191,34,2024-07-22,4.6,317,Work_302
303,155,78,2021-11-12,1.3,257,Work_303
304,188,68,2025-02-23,2.6,168,Work_304
305,7,52,2023-03-09,6.2,481,Work_305
306,133,27,2022-10-11,7.5,221,Work_306
307,235,29,2023-01-09,10.0,594,Work_307
308,45,28,2021-08-07,9.4,258,Work_308
309,249,35,2021-07-07,6.6,417,Work_309
310,31,8,2021-01-11,4.5,594,Work_310
311,23,16,2022-09-24,6.5,389,Work_311
312,160,36,2023-06-30,8.0,566,Work_312
313,158,30,2023-01-08,1.6,450,Work_313
314,39,18,2025-04-09,4.4,239,Work_314
315,82,2,2022-07-07,8.5,252,Work_315
316,258,49,2021-07-29,4.1,399,Work_316
317,206,77,2021-09-29,5.9,157,Work_317
318,77,4,2021-06-28,6.1,302,Work_318
319,12,90,2022-01-19,2.3,496,Work_319
320,295,89,2023-06-02,3.9,323,Work_320
321,224,94,2023-07-09,3.7,492,Work_321
322,13,75,2024-02-15,0.7,307,Work_322
323,46,7,2024-02-11,0.7,580,Work_323
324,155,95,2023-11-16,8.4,364,Work_324
325,113,74,2023-04-16,3.1,326,Work_325
326,233,39,2021-07-31,5.4,324,Work_326
327,17,13,2021-02-23,3.3,489,Work_327
328,223,31,2021-07-03,9.4,487,Work_328
329,188,71,2022-12-26,3.0,295,Work_329
330,163,63,2024-02-10,4.6,599,Work_330
331,74,56,2021-07-10,8.8,473,Work_331
332,233,42,2024-05-07,8.5,310,Work_332
333,224,61,2024-05-09,2.3,276,Work_333
334,60,42,2025-05-26,8.1,569,Work_334
335,222,56,2022-10-27,4.9,231,Work_335
336,37,36,2023-02-28,5.1,296,Work_336
337,278,84,2021-01-26,1.8,388,Work_337
338,196,68,2022-08-21,1.3,561,Work_338
339,242,7,2023-04-28,7.4,573,Work_339
340,219,54,2023-03-06,5.2,233,Work_340
341,192,1,2025-05-15,4.7,262,Work_341
342,17,44,2021-06-23,7.4,374,Work_342
343,12,45,2025-01-24,7.8,481,Work_343
344,193,47,2024-02-20,2.0,527,Work_344
345,22,13,2022-05-13,6.3,392,Work_345
346,120,22,2024-03-17,1.8,292,Work_346
347,210,21,2023-12-04,7.6,190,Work_347
348,270,86,2021-12-14,6.7,572,Work_348
349,192,92,2024-11-04,9.6,407,Work_349
350,175,9,2023-02-19,1.2,596,Work_350
351,285,26,2021-12-14,1.0,434,Work_351
352,204,9,2021-10-12,3.2,254,Work_352
353,164,15,2022-07-05,3.0,351,Work_353
354,251,10,2022-09-09,2.8,599,Work_354
355,227,88,2022-07-04,9.1,456,Work_355
356,7,42,2023-10-07,2.9,480,Work_356
357,29,72,2021-10-26,3.1,415,Work_357
358,33,24,2021-05-10,7.7,547,Work_358
359,134,80,2021-12-09,4.8,359,Work_359
360,79,49,2023-06-10,7.9,200,Work_360
361,58,26,2022-07-20,1.1,267,Work_361
362,26,91,2023-05-13,5.1,350,Work_362
363,226,37,2022-09-06,0.8,526,Work_363
364,285,68,2023-09-19,1.1,188,Work_364
365,4,50,2025-05-22,9.1,177,Work_365
366,99,24,2021-06-07,1.8,408,Work_366
367,39,19,2023-01-10,5.6,233,Work_367
368,271,100,2022-05-31,4.4,304,Work_368
369,285,60,2022-05-21,3.8,266,Work_369
370,157,39,2025-01-16,9.0,151,Work_370
371,75,74,2024-07-04,0.7,242,Work_371
372,288,89,2023-10-13,6.8,315,Work_372
373,130,18,2024-05-01,9.7,536,Work_373
374,175,19,2024-06-16,5.8,549,Work_374
375,84,36,2022-02-05,9.4,499,Work_375
376,22,74,2023-07-27,1.0,445,Work_376
